frame,detected,pose_success,marker_id,status,real_distance_m,real_cctag_diameter_m,center_x_px,center_y_px,ellipse_a_px,ellipse_b_px,ellipse_angle_rad,apparent_diameter_px,estimated_x_m,estimated_y_m,estimated_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,candidate_count,total_time_ms
58,1,1,0,1,1.0,0.096,281.59,239.41,45.46,45.5865,1.9187,91.0464,-0.03956491546223477,0.022809896918440285,0.9866224447965537,0.9876788559594117,0.0133775552034463,0.012321144040588261,,1,120.0
59,1,1,0,1,1.0,0.096,281.389,239.06,45.4266,45.5762,1.72601,91.0028,-0.039795908687873444,0.022453525072344358,0.9870951416651461,0.9881521612764923,0.012904858334853886,0.011847838723507698,,1,170.0
60,1,1,0,1,1.0,0.096,281.265,239.125,45.4752,45.619,1.85812,91.0941,-0.03988670088557669,0.022499165324206788,0.9861058153922697,0.9871685978080312,0.013894184607730287,0.012831402191968766,,1,170.0
61,1,1,0,1,1.0,0.096,281.417,239.151,45.4783,45.5172,1.2307,90.9955,-0.03976956134249289,0.022550832093480896,0.9871743301363798,0.9882324200903818,0.012825669863620215,0.011767579909618187,,1,150.0
62,1,1,0,1,1.0,0.096,281.348,239.125,45.478,45.557,1.70721,91.035,-0.03982506859055099,0.022513771801612847,0.986745996132531,0.9878059358459829,0.013254003867469,0.012194064154017137,,1,160.0
63,1,1,0,1,1.0,0.096,281.325,239.132,45.494,45.5745,1.79965,91.0684,-0.039834707968305266,0.02251285542412798,0.9863840998406138,0.9874447959438775,0.013615900159386185,0.012555204056122538,,1,120.0
64,1,1,0,1,1.0,0.096,281.593,239.382,45.4721,45.5828,1.80538,91.0549,-0.039558059139495054,0.022778400404676286,0.9865303433195243,0.9875858513861051,0.013469656680475728,0.012414148613894893,,1,110.0
65,1,1,0,1,1.0,0.096,281.6,239.395,45.4993,45.575,1.82301,91.0744,-0.039542210754512884,0.022787155160056142,0.9863191166554482,0.9873744177117546,0.013680883344551753,0.012625582288245396,,1,130.0
66,1,1,0,1,1.0,0.096,281.617,239.342,45.4881,45.5546,1.89089,91.0427,-0.039538053233711304,0.022739494010080807,0.9866625414000789,0.9877162106816961,0.013337458599921082,0.012283789318303873,,1,130.0
67,1,1,0,1,1.0,0.096,281.591,239.381,45.4712,45.5451,1.9643,91.0163,-0.03957694521905207,0.02278701144756878,0.9869487306990611,0.9880047467052329,0.013051269300938917,0.011995253294767139,,1,240.0
68,1,1,0,1,1.0,0.096,281.369,239.067,45.4355,45.5542,1.5515,90.9897,-0.03982273948744536,0.022464104820659594,0.9872372560622241,0.9882954448660319,0.012762743937775878,0.011704555133968064,,1,110.0
69,1,1,0,1,1.0,0.096,281.567,239.359,45.486,45.555,1.99371,91.041,-0.03959151502225162,0.022757751432678223,0.9866809652565872,0.987737176839922,0.013319034743412783,0.012262823160077985,,1,200.0
70,1,1,0,1,1.0,0.096,281.284,239.072,45.4637,45.5352,1.91656,90.9989,-0.03990838481718802,0.02246708106759963,0.9871374462540201,0.9881992646765748,0.012862553745979888,0.011800735323425182,,1,120.0
71,1,1,0,1,1.0,0.096,281.327,239.283,45.4858,45.6315,2.09592,91.1173,-0.039811222667274056,0.02265903810538417,0.985854736234776,0.9869183990658317,0.014145263765223959,0.013081600934168325,,1,120.0
72,1,1,0,1,1.0,0.096,281.303,239.145,45.4095,45.6163,2.09408,91.0258,-0.03987655279207444,0.022537030554061754,0.9868457267931174,0.9879081666322077,0.01315427320688256,0.012091833367792293,,1,110.0
73,1,1,0,1,1.0,0.096,281.598,239.332,45.4798,45.5797,1.86739,91.0595,-0.03955078952927271,0.022724810935570012,0.9864805073377841,0.9875345428600755,0.01351949266221586,0.01246545713992453,,1,160.0
74,1,1,0,1,1.0,0.096,281.293,239.162,45.4593,45.5615,1.73355,91.0208,-0.039889290350566126,0.022556105337228297,0.9868999366949638,0.9879632677489479,0.013100063305036214,0.012036732251052062,,1,180.0
75,1,1,0,1,1.0,0.096,281.589,239.381,45.4669,45.5728,1.92356,91.0398,-0.039568838234934726,0.022781129462228107,0.9866939707460359,0.9877497986461027,0.013306029253964069,0.012250201353897316,,1,110.0
76,1,1,0,1,1.0,0.096,281.343,239.029,45.4445,45.5643,1.78473,91.0088,-0.039841807815736596,0.0224195146039614,0.9870300647621435,0.9880882313991319,0.0129699352378565,0.011911768600868067,,1,120.0
77,1,1,0,1,1.0,0.096,281.622,239.398,45.4562,45.5612,1.7669,91.0173,-0.039543813309566515,0.02280459854210385,0.9869378871700759,0.9879929939111217,0.013062112829924089,0.01200700608887828,,1,180.0
